años;fnlwgt(identificador);educacion;education-num;estado-civil;parentezco;raza;sexo;plusvalia;perdidad de capital;horas por semana;salario
39;77516;1;13;4;2;1;1;2174;0;40;50000
50;83311;1;13;2;1;1;1;0;0;13;50000
38;215646;2;9;1;2;1;1;0;0;40;50000
53;234721;3;7;2;1;2;1;0;0;40;50000
28;338409;1;13;2;3;2;2;0;0;40;50000
37;284582;4;14;2;3;1;2;0;0;40;50000
49;160187;5;5;3;2;2;2;0;0;16;50000
52;209642;2;9;2;1;1;1;0;0;45;40000
31;45781;4;14;4;2;1;2;14084;0;50;40000
42;159449;1;13;2;1;1;1;5178;0;40;40000
37;280464;6;10;2;1;2;1;0;0;80;40000
30;141297;1;13;2;1;3;1;0;0;40;40000
23;122272;1;13;4;4;1;2;0;0;30;50000
32;205019;7;12;4;2;2;1;0;0;50;50000
40;121772;8;11;2;1;3;1;0;0;40;40000
34;245487;9;4;2;1;4;1;0;0;45;50000
25;176756;2;9;4;4;1;1;0;0;35;50000
32;186824;2;9;4;5;1;1;0;0;40;50000
38;28887;3;7;2;1;1;1;0;0;50;50000
43;292175;4;14;1;5;1;2;0;0;45;40000
40;193524;10;16;2;1;1;1;0;0;60;40000
54;302146;2;9;5;5;2;2;0;0;20;50000
35;76845;5;5;2;1;2;1;0;0;40;50000
43;117037;3;7;2;1;1;1;0;2042;40;50000
59;109015;2;9;1;5;1;2;0;0;40;50000
56;216851;1;13;2;1;1;1;0;0;40;40000
19;168294;2;9;4;4;1;1;0;0;40;50000
54;180211;6;10;2;1;3;1;0;0;60;40000
39;367260;2;9;1;2;1;1;0;0;80;50000
49;193366;2;9;2;1;1;1;0;0;40;50000
23;190709;7;12;4;2;1;1;0;0;52;50000
20;266015;6;10;4;4;2;1;0;0;44;50000
45;386940;1;13;1;4;1;1;0;1408;40;50000
30;59951;6;10;2;4;1;1;0;0;40;50000
22;311512;6;10;2;1;2;1;0;0;15;50000
48;242406;3;7;4;5;1;1;0;0;40;50000
21;197200;6;10;4;4;1;1;0;0;40;50000
19;544091;2;9;7;3;1;2;0;0;25;50000
31;84154;6;10;2;1;1;1;0;0;38;40000
48;265477;7;12;2;1;1;1;0;0;40;50000
31;507875;5;5;2;1;1;1;0;0;43;50000
53;88506;1;13;2;1;1;1;0;0;40;50000
24;172987;1;13;2;1;1;1;0;0;50;50000
49;94638;2;9;5;5;1;2;0;0;40;50000
25;289980;2;9;4;2;1;1;0;0;35;50000
57;337895;1;13;2;1;2;1;0;0;40;40000
53;144361;2;9;2;1;1;1;0;0;38;50000
44;128354;4;14;1;5;1;2;0;0;40;50000
41;101603;8;11;2;1;1;1;0;0;40;50000
29;271466;8;11;4;2;1;1;0;0;43;50000
25;32275;6;10;2;3;5;2;0;0;40;50000
18;226956;2;9;4;4;1;2;0;0;30;50000
